02:01:49:793 [ALWAYS]	GUDE Logging Started
02:01:49:793 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:01:49:794 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:01:49:794 [ERROR]	Initialize resume cache pointer failure
02:01:49:794 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
02:01:49:794 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
02:02:01:242 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
02:02:01:242 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:02:01:242 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:02:01:242 [ERROR]	Initialize resume cache pointer failure
02:02:01:243 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
02:02:01:243 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
